name,yahoo_ticker,isin,country,exchange,sector,enabled
Home Invest Belgium - Sifi,HOMI.BR,BE0974409410,BE,EURONEXT,,true
Hyloris Developmentsen Sa,HYL.BR,BE0974363955,BE,EURONEXT,,true
Global Graphics PLC,HYSG.BR,GB00BYN5BY03,BE,EURONEXT,,true
Ion Beam Applications SA,IBAB.BR,BE0003766806,BE,EURONEXT,,true
Iep Invest,IEP.BR,BE0003748622,BE,EURONEXT,,true
Immobel,IMMO.BR,BE0003599108,BE,EURONEXT,,true
Immo Moury SICAF Immobiliere Publique de Droit Belge,IMMOU.BR,BE0003893139,BE,EURONEXT,,true
Inclusio Sca,INCLU.BR,BE0974374069,BE,EURONEXT,,true
Jensen-Group NV,JEN.BR,BE0003858751,BE,EURONEXT,,true
KBC Groep NV,KBC.BR,BE0003565737,BE,EURONEXT,,true
KBC Ancora,KBCA.BR,BE0003867844,BE,EURONEXT,,true
Kinepolis Group NV,KIN.BR,BE0974274061,BE,EURONEXT,,true
Lotus Bakeries,LOTB.BR,BE0003604155,BE,EURONEXT,,true
Immo Mcc NV,MCC.BR,BE0974287196,BE,EURONEXT,,true
Melexis NV,MELE.BR,BE0165385973,BE,EURONEXT,,true
Miko NV,MIKO.BR,BE0003731453,BE,EURONEXT,,true
Compagnie FinanciÃ¨re de Neufcour S.A.,MLNEU.BR,,BE,EURONEXT,,true
Montea C.V.A.,MONT.BR,BE0003853703,BE,EURONEXT,,true
Palmboomen Cultuur Maatschappij Mopoli (Palmeraies De Mopoli) N.V,MOP.BR,,BE,EURONEXT,,true
Moury Construct SA,MOUR.BR,BE0003602134,BE,EURONEXT,,true
MATERIALISE NV,MTLS.BR,,BE,EURONEXT,,true
Newtree S.A,NEWT.BR,BE0003832491,BE,EURONEXT,,true
Nextensa NV,NEXTA.BR,BE0003770840,BE,EURONEXT,,true
Nyrstar NV,NYR.BR,BE0974294267,BE,EURONEXT,,true
Nyxoah,NYXH.BR,BE0974358906,BE,EURONEXT,,true
Orange Belgium SA,OBEL.BR,BE0003735496,BE,EURONEXT,,true
Ontex Group NV,ONTEX.BR,BE0974276082,BE,EURONEXT,,true
Onward Medical N.V.,ONWD.BR,NL0015000HT4,BE,EURONEXT,,true
Crescent NV,OPTI.BR,BE0003836534,BE,EURONEXT,,true
Oxurion NV,OXUR.BR,BE0003846632,BE,EURONEXT,,true
Payton Planar Magnetics Ltd,PAY.BR,IL0010830391,BE,EURONEXT,,true
Proximus NV,PROX.BR,BE0003810273,BE,EURONEXT,,true
Quest For Growth - Pricaf,QFG.BR,BE0003730448,BE,EURONEXT,,true
QRF SCA,QRF.BR,BE0974272040,BE,EURONEXT,,true
Recticel,RECT.BR,BE0003656676,BE,EURONEXT,,true
Retail Estates - Sicafi,RET.BR,BE0003720340,BE,EURONEXT,,true
Whitestone Group,ROCK.BR,BE0974401334,BE,EURONEXT,,true
